n,sigma_minus_n,factorization
1,1,"1"
2,1.5,"2"
3,1.33333,"3"
4,1.75,"2^2"
5,1.2,"5"
6,2,"2 × 3"
7,1.14286,"7"
8,1.875,"2^3"
9,1.44444,"3^2"
10,1.8,"2 × 5"
11,1.09091,"11"
12,2.33333,"2^2 × 3"
13,1.07692,"13"
14,1.71429,"2 × 7"
15,1.6,"3 × 5"
16,1.9375,"2^4"
17,1.05882,"17"
18,2.16667,"2 × 3^2"
19,1.05263,"19"
20,2.1,"2^2 × 5"
21,1.52381,"3 × 7"
22,1.63636,"2 × 11"
23,1.04348,"23"
24,2.5,"2^3 × 3"
25,1.24,"5^2"
26,1.61538,"2 × 13"
27,1.48148,"3^3"
28,2,"2^2 × 7"
29,1.03448,"29"
30,2.4,"2 × 3 × 5"
31,1.03226,"31"
32,1.96875,"2^5"
33,1.45455,"3 × 11"
34,1.58824,"2 × 17"
35,1.37143,"5 × 7"
36,2.52778,"2^2 × 3^2"
37,1.02703,"37"
38,1.57895,"2 × 19"
39,1.4359,"3 × 13"
40,2.25,"2^3 × 5"
41,1.02439,"41"
42,2.28571,"2 × 3 × 7"
43,1.02326,"43"
44,1.90909,"2^2 × 11"
45,1.73333,"3^2 × 5"
46,1.56522,"2 × 23"
47,1.02128,"47"
48,2.58333,"2^4 × 3"
49,1.16327,"7^2"
50,1.86,"2 × 5^2"
51,1.41176,"3 × 17"
52,1.88462,"2^2 × 13"
53,1.01887,"53"
54,2.22222,"2 × 3^3"
55,1.30909,"5 × 11"
56,2.14286,"2^3 × 7"
57,1.40351,"3 × 19"
58,1.55172,"2 × 29"
59,1.01695,"59"
60,2.8,"2^2 × 3 × 5"
61,1.01639,"61"
62,1.54839,"2 × 31"
63,1.65079,"3^2 × 7"
64,1.98438,"2^6"
65,1.29231,"5 × 13"
66,2.18182,"2 × 3 × 11"
67,1.01493,"67"
68,1.85294,"2^2 × 17"
69,1.3913,"3 × 23"
70,2.05714,"2 × 5 × 7"
71,1.01408,"71"
72,2.70833,"2^3 × 3^2"
73,1.0137,"73"
74,1.54054,"2 × 37"
75,1.65333,"3 × 5^2"
76,1.84211,"2^2 × 19"
77,1.24675,"7 × 11"
78,2.15385,"2 × 3 × 13"
79,1.01266,"79"
80,2.325,"2^4 × 5"
81,1.49383,"3^4"
82,1.53659,"2 × 41"
83,1.01205,"83"
84,2.66667,"2^2 × 3 × 7"
85,1.27059,"5 × 17"
86,1.53488,"2 × 43"
87,1.37931,"3 × 29"
88,2.04545,"2^3 × 11"
89,1.01124,"89"
90,2.6,"2 × 3^2 × 5"
91,1.23077,"7 × 13"
92,1.82609,"2^2 × 23"
93,1.37634,"3 × 31"
94,1.53191,"2 × 47"
95,1.26316,"5 × 19"
96,2.625,"2^5 × 3"
97,1.01031,"97"
98,1.7449,"2 × 7^2"
99,1.57576,"3^2 × 11"
100,2.17,"2^2 × 5^2"
101,1.0099,"101"
102,2.11765,"2 × 3 × 17"
103,1.00971,"103"
104,2.01923,"2^3 × 13"
105,1.82857,"3 × 5 × 7"
106,1.5283,"2 × 53"
107,1.00935,"107"
108,2.59259,"2^2 × 3^3"
109,1.00917,"109"
110,1.96364,"2 × 5 × 11"
111,1.36937,"3 × 37"
112,2.21429,"2^4 × 7"
113,1.00885,"113"
114,2.10526,"2 × 3 × 19"
115,1.25217,"5 × 23"
116,1.81034,"2^2 × 29"
117,1.55556,"3^2 × 13"
118,1.52542,"2 × 59"
119,1.21008,"7 × 17"
120,3,"2^3 × 3 × 5"
121,1.09917,"11^2"
122,1.52459,"2 × 61"
123,1.36585,"3 × 41"
124,1.80645,"2^2 × 31"
125,1.248,"5^3"
126,2.47619,"2 × 3^2 × 7"
127,1.00787,"127"
128,1.99219,"2^7"
129,1.36434,"3 × 43"
130,1.93846,"2 × 5 × 13"
131,1.00763,"131"
132,2.54545,"2^2 × 3 × 11"
133,1.20301,"7 × 19"
134,1.52239,"2 × 67"
135,1.77778,"3^3 × 5"
136,1.98529,"2^3 × 17"
137,1.0073,"137"
138,2.08696,"2 × 3 × 23"
139,1.00719,"139"
140,2.4,"2^2 × 5 × 7"
141,1.3617,"3 × 47"
142,1.52113,"2 × 71"
143,1.17483,"11 × 13"
144,2.79861,"2^4 × 3^2"
145,1.24138,"5 × 29"
146,1.52055,"2 × 73"
147,1.55102,"3 × 7^2"
148,1.7973,"2^2 × 37"
149,1.00671,"149"
150,2.48,"2 × 3 × 5^2"
151,1.00662,"151"
152,1.97368,"2^3 × 19"
153,1.52941,"3^2 × 17"
154,1.87013,"2 × 7 × 11"
155,1.23871,"5 × 31"
156,2.51282,"2^2 × 3 × 13"
157,1.00637,"157"
158,1.51899,"2 × 79"
159,1.35849,"3 × 53"
160,2.3625,"2^5 × 5"
161,1.19255,"7 × 23"
162,2.24074,"2 × 3^4"
163,1.00613,"163"
164,1.79268,"2^2 × 41"
165,1.74545,"3 × 5 × 11"
166,1.51807,"2 × 83"
167,1.00599,"167"
168,2.85714,"2^3 × 3 × 7"
169,1.08284,"13^2"
170,1.90588,"2 × 5 × 17"
171,1.52047,"3^2 × 19"
172,1.7907,"2^2 × 43"
173,1.00578,"173"
174,2.06897,"2 × 3 × 29"
175,1.41714,"5^2 × 7"
176,2.11364,"2^4 × 11"
177,1.35593,"3 × 59"
178,1.51685,"2 × 89"
179,1.00559,"179"
180,3.03333,"2^2 × 3^2 × 5"
181,1.00552,"181"
182,1.84615,"2 × 7 × 13"
183,1.35519,"3 × 61"
184,1.95652,"2^3 × 23"
185,1.23243,"5 × 37"
186,2.06452,"2 × 3 × 31"
187,1.15508,"11 × 17"
188,1.78723,"2^2 × 47"
189,1.69312,"3^3 × 7"
190,1.89474,"2 × 5 × 19"
191,1.00524,"191"
192,2.64583,"2^6 × 3"
193,1.00518,"193"
194,1.51546,"2 × 97"
195,1.72308,"3 × 5 × 13"
196,2.03571,"2^2 × 7^2"
197,1.00508,"197"
198,2.36364,"2 × 3^2 × 11"
199,1.00503,"199"
200,2.325,"2^3 × 5^2"
201,1.35323,"3 × 67"
202,1.51485,"2 × 101"
203,1.18227,"7 × 29"
204,2.47059,"2^2 × 3 × 17"
205,1.22927,"5 × 41"
206,1.51456,"2 × 103"
207,1.50725,"3^2 × 23"
208,2.08654,"2^4 × 13"
209,1.14833,"11 × 19"
210,2.74286,"2 × 3 × 5 × 7"
211,1.00474,"211"
212,1.78302,"2^2 × 53"
213,1.35211,"3 × 71"
214,1.51402,"2 × 107"
215,1.22791,"5 × 43"
216,2.77778,"2^3 × 3^3"
217,1.17972,"7 × 31"
218,1.51376,"2 × 109"
219,1.3516,"3 × 73"
220,2.29091,"2^2 × 5 × 11"
221,1.14027,"13 × 17"
222,2.05405,"2 × 3 × 37"
223,1.00448,"223"
224,2.25,"2^5 × 7"
225,1.79111,"3^2 × 5^2"
226,1.51327,"2 × 113"
227,1.00441,"227"
228,2.45614,"2^2 × 3 × 19"
229,1.00437,"229"
230,1.87826,"2 × 5 × 23"
231,1.66234,"3 × 7 × 11"
232,1.93966,"2^3 × 29"
233,1.00429,"233"
234,2.33333,"2 × 3^2 × 13"
235,1.22553,"5 × 47"
236,1.77966,"2^2 × 59"
237,1.35021,"3 × 79"
238,1.81513,"2 × 7 × 17"
239,1.00418,"239"
240,3.1,"2^4 × 3 × 5"
241,1.00415,"241"
242,1.64876,"2 × 11^2"
243,1.49794,"3^5"
244,1.77869,"2^2 × 61"
245,1.39592,"5 × 7^2"
246,2.04878,"2 × 3 × 41"
247,1.1336,"13 × 19"
248,1.93548,"2^3 × 31"
249,1.3494,"3 × 83"
250,1.872,"2 × 5^3"
251,1.00398,"251"
252,2.88889,"2^2 × 3^2 × 7"
253,1.13834,"11 × 23"
254,1.51181,"2 × 127"
255,1.69412,"3 × 5 × 17"
256,1.99609,"2^8"
257,1.00389,"257"
258,2.04651,"2 × 3 × 43"
259,1.17375,"7 × 37"
260,2.26154,"2^2 × 5 × 13"
261,1.49425,"3^2 × 29"
262,1.51145,"2 × 131"
263,1.0038,"263"
264,2.72727,"2^3 × 3 × 11"
265,1.22264,"5 × 53"
266,1.80451,"2 × 7 × 19"
267,1.34831,"3 × 89"
268,1.77612,"2^2 × 67"
269,1.00372,"269"
270,2.66667,"2 × 3^3 × 5"
271,1.00369,"271"
272,2.05147,"2^4 × 17"
273,1.64103,"3 × 7 × 13"
274,1.51095,"2 × 137"
275,1.35273,"5^2 × 11"
276,2.43478,"2^2 × 3 × 23"
277,1.00361,"277"
278,1.51079,"2 × 139"
279,1.49104,"3^2 × 31"
280,2.57143,"2^3 × 5 × 7"
281,1.00356,"281"
282,2.04255,"2 × 3 × 47"
283,1.00353,"283"
284,1.77465,"2^2 × 71"
285,1.68421,"3 × 5 × 19"
286,1.76224,"2 × 11 × 13"
287,1.17073,"7 × 41"
288,2.84375,"2^5 × 3^2"
289,1.06228,"17^2"
290,1.86207,"2 × 5 × 29"
291,1.34708,"3 × 97"
292,1.77397,"2^2 × 73"
293,1.00341,"293"
294,2.32653,"2 × 3 × 7^2"
295,1.22034,"5 × 59"
296,1.92568,"2^3 × 37"
297,1.61616,"3^3 × 11"
298,1.51007,"2 × 149"
299,1.12375,"13 × 23"
300,2.89333,"2^2 × 3 × 5^2"
301,1.16944,"7 × 43"
302,1.50993,"2 × 151"
303,1.34653,"3 × 101"
304,2.03947,"2^4 × 19"
305,1.21967,"5 × 61"
306,2.29412,"2 × 3^2 × 17"
307,1.00326,"307"
308,2.18182,"2^2 × 7 × 11"
309,1.34628,"3 × 103"
310,1.85806,"2 × 5 × 31"
311,1.00322,"311"
312,2.69231,"2^3 × 3 × 13"
313,1.00319,"313"
314,1.50955,"2 × 157"
315,1.98095,"3^2 × 5 × 7"
316,1.77215,"2^2 × 79"
317,1.00315,"317"
318,2.03774,"2 × 3 × 53"
319,1.12853,"11 × 29"
320,2.38125,"2^6 × 5"
321,1.34579,"3 × 107"
322,1.78882,"2 × 7 × 23"
323,1.11455,"17 × 19"
324,2.6142,"2^2 × 3^4"
325,1.33538,"5^2 × 13"
326,1.5092,"2 × 163"
327,1.34557,"3 × 109"
328,1.92073,"2^3 × 41"
329,1.16717,"7 × 47"
330,2.61818,"2 × 3 × 5 × 11"
331,1.00302,"331"
332,1.77108,"2^2 × 83"
333,1.48348,"3^2 × 37"
334,1.50898,"2 × 167"
335,1.21791,"5 × 67"
336,2.95238,"2^4 × 3 × 7"
337,1.00297,"337"
338,1.62426,"2 × 13^2"
339,1.34513,"3 × 113"
340,2.22353,"2^2 × 5 × 17"
341,1.1261,"11 × 31"
342,2.2807,"2 × 3^2 × 19"
343,1.16618,"7^3"
344,1.9186,"2^3 × 43"
345,1.66957,"3 × 5 × 23"
346,1.50867,"2 × 173"
347,1.00288,"347"
348,2.41379,"2^2 × 3 × 29"
349,1.00287,"349"
350,2.12571,"2 × 5^2 × 7"
351,1.59544,"3^3 × 13"
352,2.14773,"2^5 × 11"
353,1.00283,"353"
354,2.0339,"2 × 3 × 59"
355,1.2169,"5 × 71"
356,1.76966,"2^2 × 89"
357,1.61345,"3 × 7 × 17"
358,1.50838,"2 × 179"
359,1.00279,"359"
360,3.25,"2^3 × 3^2 × 5"
361,1.0554,"19^2"
362,1.50829,"2 × 181"
363,1.46556,"3 × 11^2"
364,2.15385,"2^2 × 7 × 13"
365,1.21644,"5 × 73"
366,2.03279,"2 × 3 × 61"
367,1.00272,"367"
368,2.02174,"2^4 × 23"
369,1.47967,"3^2 × 41"
370,1.84865,"2 × 5 × 37"
371,1.16442,"7 × 53"
372,2.4086,"2^2 × 3 × 31"
373,1.00268,"373"
374,1.73262,"2 × 11 × 17"
375,1.664,"3 × 5^3"
376,1.91489,"2^3 × 47"
377,1.11406,"13 × 29"
378,2.53968,"2 × 3^3 × 7"
379,1.00264,"379"
380,2.21053,"2^2 × 5 × 19"
381,1.34383,"3 × 127"
382,1.50785,"2 × 191"
383,1.00261,"383"
384,2.65625,"2^7 × 3"
385,1.4961,"5 × 7 × 11"
386,1.50777,"2 × 193"
387,1.47804,"3^2 × 43"
